Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score
71,21,Female,Graduate,Croatia,2.1,TikTok,No,7.7,7,In Relationship,2,3
72,24,Female,Undergraduate,Venezuela,2.3,TikTok,No,9.4,9,Single,2,3
73,21,Female,Undergraduate,Georgia,3.2,Instagram,Yes,8.1,8,In Relationship,3,5
74,22,Female,Undergraduate,Luxembourg,4.3,Snapchat,Yes,6.4,7,Complicated,3,6
75,24,Female,Undergraduate,South Africa,7.5,TikTok,Yes,5.8,6,In Relationship,4,9
76,20,Male,Undergraduate,Spain,5.4,LinkedIn,No,7.2,9,Single,2,4
77,23,Female,Undergraduate,Syria,8.2,WhatsApp,Yes,5.6,5,Complicated,5,9
78,18,Female,High School,USA,7.7,Instagram,Yes,5.5,6,Single,3,9
79,21,Female,Graduate,Serbia,8.3,LinkedIn,Yes,5.3,4,Single,5,9
80,19,Female,High School,Greece,3.3,KakaoTalk,No,7.8,8,Single,2,3
81,21,Male,Undergraduate,Portugal,5.5,LINE,No,7.1,8,In Relationship,2,3
82,19,Male,Graduate,Morocco,3.7,VKontakte,No,6.9,8,Single,2,4
83,23,Male,Graduate,Vietnam,4.4,Instagram,No,7.0,8,Single,2,4
84,23,Female,Undergraduate,USA,3.8,Instagram,Yes,7.8,8,In Relationship,2,5
85,23,Male,Undergraduate,South Korea,1.6,Instagram,No,8.3,9,Complicated,1,2
86,19,Female,Undergraduate,Albania,7.7,YouTube,Yes,5.7,4,Complicated,5,9
87,21,Male,High School,Czech Republic,7.2,Snapchat,Yes,6.5,4,Single,4,8
88,23,Male,Undergraduate,Kuwait,5.6,LinkedIn,Yes,6.5,5,In Relationship,4,7
89,22,Male,High School,Switzerland,5.3,LinkedIn,No,7.3,7,In Relationship,3,6
90,24,Male,Graduate,Sweden,1.9,Twitter,No,9.0,8,In Relationship,2,4
91,19,Male,Undergraduate,South Africa,5.0,VKontakte,Yes,6.7,6,In Relationship,3,6
92,19,Female,High School,Paraguay,3.7,LINE,No,7.9,9,Single,2,4
93,21,Male,Undergraduate,UK,1.5,Instagram,No,9.3,9,Single,1,2
94,19,Male,Undergraduate,Paraguay,4.1,LINE,Yes,8.0,8,Complicated,3,5
95,19,Female,Undergraduate,Norway,4.6,Snapchat,No,6.7,7,Complicated,3,5
96,23,Male,Undergraduate,Monaco,4.5,YouTube,No,7.9,7,In Relationship,2,5
97,21,Female,Graduate,Uruguay,2.9,Facebook,No,7.8,8,In Relationship,2,4
98,23,Female,Graduate,Canada,4.9,Instagram,Yes,6.4,7,In Relationship,2,5
99,24,Female,Graduate,Panama,6.8,LINE,Yes,5.9,5,Single,4,7
100,24,Female,Undergraduate,Armenia,7.1,Snapchat,Yes,5.1,4,Single,5,9
101,23,Male,Graduate,Kazakhstan,5.0,VKontakte,Yes,6.0,6,In Relationship,2,5
102,24,Male,Undergraduate,Nigeria,1.6,Instagram,No,8.1,9,Single,0,2
103,21,Male,Graduate,Taiwan,8.3,LINE,Yes,4.6,5,Single,4,9
104,18,Male,High School,South Africa,2.3,Instagram,No,8.4,8,Single,1,2
105,23,Male,Graduate,Bulgaria,2.4,Twitter,No,8.5,9,Single,2,2
106,22,Female,Graduate,USA,7.3,Instagram,Yes,5.5,7,In Relationship,3,7
107,22,Male,Graduate,Philippines,5.7,Instagram,Yes,6.3,6,Single,2,5
108,19,Female,Graduate,Ghana,4.4,YouTube,No,7.4,7,Single,3,5
109,24,Female,Undergraduate,Finland,7.3,Instagram,No,7.2,7,Single,3,6
110,22,Male,Undergraduate,Slovakia,5.0,Snapchat,Yes,7.2,7,In Relationship,3,6
111,19,Male,Undergraduate,India,5.0,TikTok,No,6.4,7,Single,4,6
112,18,Male,Graduate,Argentina,7.3,TikTok,Yes,5.2,6,Single,4,8
113,21,Female,Graduate,Oman,4.7,LINE,Yes,7.3,6,Single,4,7
114,21,Male,Undergraduate,Brazil,2.5,TikTok,No,8.8,9,In Relationship,1,2
115,21,Female,Undergraduate,Bahamas,4.8,YouTube,No,6.1,6,In Relationship,3,6
116,22,Female,High School,Uruguay,3.1,Instagram,No,7.9,7,In Relationship,2,3
117,18,Female,Undergraduate,Jamaica,1.7,TikTok,No,7.5,7,In Relationship,1,3
118,22,Male,Undergraduate,Serbia,6.1,TikTok,No,6.3,6,Single,3,6
119,24,Female,Graduate,San Marino,3.2,Snapchat,No,7.6,8,Single,1,3
120,22,Male,High School,Lebanon,4.5,Instagram,No,6.5,7,Single,2,5
121,18,Male,Undergraduate,Portugal,5.6,Instagram,No,6.8,7,In Relationship,3,6
122,18,Male,Graduate,Austria,4.2,LinkedIn,Yes,6.5,6,In Relationship,2,5
123,24,Female,Undergraduate,Switzerland,4.5,LinkedIn,No,8.1,8,In Relationship,2,4
124,18,Female,Undergraduate,Croatia,2.0,YouTube,No,9.2,9,Single,1,2
125,18,Male,Undergraduate,Italy,7.4,TikTok,Yes,6.0,5,Single,5,8
126,21,Female,Undergraduate,Japan,7.6,YouTube,Yes,6.2,5,Single,5,9
127,24,Male,Undergraduate,Austria,6.0,Facebook,No,6.8,6,Single,2,6
128,20,Female,Graduate,Greece,2.6,Instagram,No,7.9,9,In Relationship,1,2
129,20,Male,Graduate,Monaco,4.4,TikTok,No,7.6,7,In Relationship,2,5
130,18,Male,Graduate,Afghanistan,5.8,LinkedIn,Yes,6.3,5,Single,4,8
131,20,Female,Graduate,Colombia,7.1,Twitter,Yes,5.1,6,In Relationship,4,8
132,20,Female,High School,Iceland,2.0,YouTube,No,9.4,8,Single,1,3
133,18,Male,Graduate,Bahrain,5.9,TikTok,No,6.2,7,In Relationship,3,6
134,20,Female,Graduate,Malta,2.1,Instagram,No,8.8,8,Single,2,3
135,22,Male,Undergraduate,Paraguay,5.8,Snapchat,No,6.9,7,Single,2,5
136,19,Male,Graduate,South Africa,1.5,Instagram,No,8.8,9,Single,1,2
137,24,Male,Undergraduate,Sweden,7.7,YouTube,Yes,5.5,5,Single,5,9
138,19,Female,High School,Morocco,3.2,Instagram,No,8.0,7,Single,1,3
139,18,Female,Graduate,Singapore,4.8,TikTok,Yes,7.0,6,Complicated,4,7
140,21,Male,High School,South Africa,5.0,Instagram,No,6.7,7,Single,3,6
141,24,Female,Undergraduate,Tajikistan,7.3,WhatsApp,No,6.0,6,In Relationship,2,6
142,18,Female,Undergraduate,Kyrgyzstan,6.3,TikTok,Yes,6.7,4,Single,4,8
143,21,Female,Undergraduate,Ukraine,5.5,WeChat,No,6.6,6,Single,4,6
144,19,Female,Graduate,Australia,7.6,TikTok,Yes,5.6,5,In Relationship,4,9
145,18,Female,Undergraduate,Switzerland,3.2,VKontakte,No,7.9,8,In Relationship,2,3
146,24,Male,Undergraduate,Bangladesh,5.7,Instagram,Yes,7.4,7,Complicated,3,7
147,24,Male,Undergraduate,Iraq,6.0,Instagram,No,6.0,6,Single,2,5
148,23,Female,Undergraduate,Qatar,6.1,Instagram,Yes,6.9,5,In Relationship,3,5
149,22,Female,Graduate,Vatican City,7.6,YouTube,Yes,6.2,5,Complicated,4,8
150,20,Male,High School,New Zealand,5.4,WhatsApp,Yes,6.5,6,Single,3,7
151,21,Female,Undergraduate,Russia,4.9,Instagram,No,7.6,7,Single,2,4
152,23,Female,Graduate,Kuwait,4.7,Facebook,Yes,6.5,7,Single,2,5
153,20,Male,Undergraduate,Ghana,3.5,Instagram,No,7.5,6,Complicated,2,4
154,20,Female,High School,Vietnam,7.2,YouTube,Yes,5.6,5,Complicated,4,8
155,18,Male,Undergraduate,Bulgaria,5.1,Facebook,No,7.0,7,Single,2,4
156,20,Female,Graduate,Finland,1.9,YouTube,No,8.5,8,Single,1,2
157,22,Female,Undergraduate,Bhutan,5.6,YouTube,No,7.2,7,In Relationship,2,5
158,24,Female,Undergraduate,Kuwait,1.6,Snapchat,No,7.8,8,Single,1,3
159,23,Female,Undergraduate,Ghana,2.3,TikTok,No,8.3,9,In Relationship,2,3
160,20,Male,Undergraduate,South Africa,6.1,Instagram,Yes,6.6,5,Single,4,8
161,18,Male,Graduate,Tajikistan,4.3,YouTube,Yes,6.7,6,Single,4,7
162,22,Female,High School,Jamaica,3.0,YouTube,Yes,8.4,8,In Relationship,2,5
163,19,Female,Graduate,Hungary,2.0,Snapchat,No,8.8,7,In Relationship,1,4
164,24,Female,Undergraduate,Malaysia,5.3,WhatsApp,Yes,6.8,6,Single,4,7
165,24,Male,Undergraduate,Jordan,5.9,VKontakte,Yes,6.0,5,Single,4,7
166,23,Female,Undergraduate,Mexico,7.0,KakaoTalk,Yes,6.4,4,In Relationship,3,7
167,24,Male,Undergraduate,Malta,3.7,TikTok,No,8.2,7,Complicated,2,3
168,20,Male,Graduate,North Macedonia,2.9,Twitter,No,8.3,8,In Relationship,2,3
169,18,Male,Undergraduate,Germany,6.6,Instagram,Yes,6.4,6,Complicated,4,7
170,24,Female,Undergraduate,USA,6.5,Snapchat,Yes,6.1,7,Complicated,5,8
171,24,Female,High School,Moldova,7.0,WhatsApp,Yes,5.4,6,Single,3,7
172,19,Female,Graduate,Bolivia,4.3,LinkedIn,No,7.8,8,Single,1,4
173,19,Female,Graduate,Andorra,5.9,Snapchat,Yes,5.8,5,In Relationship,3,7
174,21,Male,Undergraduate,Jordan,2.6,WhatsApp,No,8.8,8,Single,1,2
175,22,Female,Undergraduate,Greece,3.1,WhatsApp,No,8.4,9,Single,1,2
176,20,Male,Graduate,Philippines,3.3,Instagram,Yes,8.6,6,In Relationship,2,5
177,24,Female,Graduate,Sri Lanka,8.1,KakaoTalk,Yes,5.5,5,In Relationship,5,8
178,24,Male,Undergraduate,Panama,5.7,VKontakte,Yes,5.1,5,In Relationship,4,7
179,18,Female,High School,China,4.4,Instagram,No,7.8,8,Single,2,4
180,21,Female,Undergraduate,Kazakhstan,6.4,KakaoTalk,Yes,6.5,5,Single,3,7
181,22,Male,Undergraduate,Denmark,2.1,Facebook,No,8.4,8,Single,2,4
182,21,Male,Graduate,Lithuania,5.9,LinkedIn,Yes,7.0,7,Complicated,3,5
183,23,Male,Undergraduate,Nigeria,3.9,WhatsApp,Yes,6.8,7,Single,2,5
184,22,Female,Undergraduate,India,5.8,TikTok,Yes,6.4,6,Single,4,7
185,24,Male,Undergraduate,Australia,2.2,LinkedIn,No,8.9,9,Single,1,2
186,24,Female,Undergraduate,Jordan,1.5,LinkedIn,No,8.9,9,In Relationship,0,2
187,22,Male,Undergraduate,Ireland,7.3,Snapchat,Yes,6.0,5,Single,3,7
188,24,Male,Undergraduate,Maldives,6.2,YouTube,Yes,5.8,6,Single,5,9
189,20,Female,Undergraduate,North Macedonia,2.3,YouTube,No,7.4,7,In Relationship,2,4
190,22,Female,Graduate,Slovenia,2.2,KakaoTalk,No,8.2,9,Single,1,2
191,21,Female,Graduate,Nigeria,6.5,Twitter,Yes,6.0,6,In Relationship,3,7
192,22,Female,Graduate,Ecuador,5.5,YouTube,Yes,6.2,5,Single,2,6
193,24,Female,Undergraduate,Taiwan,3.3,YouTube,No,7.2,9,Single,2,4
194,20,Male,High School,Hungary,6.6,TikTok,Yes,6.1,5,Single,5,8
195,20,Male,Graduate,Montenegro,4.2,VKontakte,Yes,7.9,7,Single,2,5
196,23,Male,Undergraduate,Jordan,5.9,Instagram,No,6.0,7,Single,3,6
197,21,Male,Undergraduate,UK,4.1,TikTok,No,7.9,7,Single,3,6
198,19,Female,Undergraduate,Indonesia,7.2,LinkedIn,Yes,6.3,6,Complicated,4,7
199,19,Female,High School,Bahamas,8.4,TikTok,Yes,4.5,5,Complicated,5,9
200,22,Male,Undergraduate,North Macedonia,5.9,Snapchat,Yes,6.4,6,Single,3,7
201,23,Female,Undergraduate,Costa Rica,6.0,YouTube,Yes,6.1,6,In Relationship,3,7
202,18,Female,Undergraduate,Greece,3.5,Instagram,No,7.3,7,Single,3,6
203,22,Male,High School,Syria,5.6,Facebook,Yes,6.5,6,Single,3,7
204,23,Female,Undergraduate,Ireland,2.4,TikTok,No,7.9,9,Complicated,2,2
205,21,Male,Undergraduate,Maldives,7.0,Instagram,Yes,6.1,4,In Relationship,3,8
206,21,Female,Undergraduate,Ukraine,7.2,YouTube,Yes,6.3,6,In Relationship,4,7
207,21,Male,Graduate,Montenegro,8.0,LINE,Yes,5.1,6,Complicated,5,9
208,21,Female,Undergraduate,Indonesia,3.1,TikTok,Yes,8.4,6,Complicated,2,6
209,21,Male,High School,Latvia,3.1,TikTok,No,8.0,9,Complicated,1,2
210,23,Female,High School,Qatar,7.8,WhatsApp,Yes,4.8,5,Single,5,9
211,23,Male,Undergraduate,Georgia,5.9,Facebook,Yes,6.3,5,Complicated,3,8
212,20,Male,High School,Croatia,1.9,TikTok,No,8.9,9,Complicated,1,2
213,19,Female,Undergraduate,Croatia,4.2,Twitter,No,7.6,7,Single,3,6
214,24,Female,Undergraduate,Singapore,2.4,Instagram,No,7.4,9,In Relationship,2,3
215,21,Female,Undergraduate,Oman,3.4,TikTok,No,7.6,5,Single,3,6
216,18,Female,Graduate,Cyprus,1.9,TikTok,No,8.0,9,Single,1,2
217,24,Female,Graduate,Jordan,4.2,WeChat,No,6.5,7,In Relationship,3,4
218,23,Male,Undergraduate,Iraq,4.1,TikTok,No,7.4,7,Single,2,4
219,18,Male,Undergraduate,Austria,4.3,Instagram,Yes,6.7,7,In Relationship,3,5
220,18,Male,Graduate,UK,7.9,Twitter,Yes,6.0,5,In Relationship,4,9
221,18,Female,Graduate,Liechtenstein,6.5,Instagram,Yes,5.5,5,Single,3,7
222,20,Male,High School,Tajikistan,7.7,YouTube,Yes,5.2,4,In Relationship,4,9
223,23,Male,Graduate,Kenya,4.1,VKontakte,No,8.0,7,Single,2,4
224,18,Female,Undergraduate,Japan,7.1,YouTube,Yes,5.8,5,In Relationship,5,9
225,21,Male,Undergraduate,Bahrain,3.5,Instagram,No,7.8,7,In Relationship,2,3
226,22,Male,High School,Indonesia,4.3,Snapchat,No,7.9,9,Single,1,3
227,18,Female,High School,Italy,6.7,Instagram,No,6.1,7,Single,3,6
228,20,Male,Graduate,Latvia,8.2,Twitter,Yes,5.5,5,In Relationship,5,9
229,24,Female,Undergraduate,Germany,2.7,Twitter,Yes,8.6,8,In Relationship,2,6
230,23,Male,High School,Ecuador,6.2,WhatsApp,No,5.8,6,Single,3,6
231,20,Male,Undergraduate,Morocco,7.0,YouTube,Yes,5.8,5,Single,4,8
232,18,Female,Graduate,Bolivia,5.4,LinkedIn,Yes,7.1,6,Single,3,6
233,23,Male,Undergraduate,Georgia,2.6,Snapchat,No,7.5,8,In Relationship,1,3
234,22,Male,Graduate,Liechtenstein,3.7,YouTube,No,6.4,7,In Relationship,2,4
235,18,Female,High School,UAE,2.1,Facebook,No,8.5,9,Single,0,2
236,20,Male,Undergraduate,Hong Kong,7.8,Twitter,Yes,5.9,5,In Relationship,4,8
237,19,Male,Graduate,Argentina,3.8,WeChat,No,7.2,9,Complicated,2,4
238,21,Male,High School,UK,6.9,Instagram,Yes,6.6,7,Single,3,6
239,24,Female,Undergraduate,Armenia,2.4,Instagram,No,7.9,8,Single,1,2
240,20,Male,Undergraduate,Iceland,3.9,TikTok,No,6.5,9,Complicated,2,3
241,23,Female,Undergraduate,Ecuador,8.4,WhatsApp,Yes,5.4,4,In Relationship,5,9
242,18,Male,Graduate,Czech Republic,8.0,TikTok,Yes,4.8,6,In Relationship,4,9
243,21,Male,Graduate,Syria,2.2,Instagram,No,8.0,8,Single,0,2
244,18,Female,Graduate,Qatar,5.3,Facebook,Yes,6.5,6,In Relationship,4,6
245,23,Male,Undergraduate,San Marino,3.8,WeChat,No,8.0,9,In Relationship,2,3
246,18,Male,Undergraduate,Netherlands,5.8,Instagram,No,6.8,7,Single,3,6
247,19,Female,Undergraduate,Brazil,7.5,TikTok,Yes,5.9,4,Complicated,4,9
248,21,Female,Undergraduate,Egypt,4.3,Snapchat,Yes,8.1,8,Single,2,5
249,21,Male,Undergraduate,Serbia,7.1,TikTok,Yes,6.4,7,In Relationship,4,7
250,23,Male,Undergraduate,Lithuania,6.5,TikTok,Yes,6.6,6,Single,5,8
251,24,Male,Undergraduate,Bahrain,3.1,Twitter,No,7.8,8,Single,2,3
252,19,Female,Graduate,Mexico,3.6,Instagram,No,7.7,9,Single,2,5
253,20,Female,Undergraduate,Malta,7.8,Instagram,Yes,5.4,4,In Relationship,3,8
254,18,Female,High School,Belgium,7.8,Snapchat,Yes,5.1,5,In Relationship,4,7
255,22,Male,High School,Israel,8.3,TikTok,Yes,4.7,4,Single,5,9
256,18,Male,High School,Serbia,7.5,TikTok,Yes,6.1,6,Single,5,9
257,18,Male,Undergraduate,Ukraine,8.4,LINE,Yes,5.2,5,Single,4,9
258,20,Male,Undergraduate,Ireland,6.1,TikTok,Yes,7.1,7,In Relationship,3,5
259,18,Female,Undergraduate,Cyprus,4.2,Instagram,No,7.2,8,In Relationship,2,4
260,19,Male,Graduate,Georgia,3.5,TikTok,No,7.3,7,Single,2,4
261,19,Female,Undergraduate,Philippines,2.7,YouTube,No,8.1,9,In Relationship,2,2
262,21,Female,Graduate,USA,4.2,Instagram,No,7.8,7,Single,3,5
263,23,Male,Undergraduate,Jamaica,5.6,YouTube,No,6.3,7,Complicated,2,5
264,24,Female,Graduate,Portugal,3.0,Instagram,No,7.4,7,Single,2,4
265,22,Male,Graduate,Kazakhstan,4.2,Instagram,Yes,7.2,6,Single,3,7
266,18,Male,Undergraduate,Finland,8.1,Facebook,Yes,5.0,5,In Relationship,4,9
267,18,Male,High School,China,5.3,Instagram,Yes,6.9,6,In Relationship,3,7
268,20,Male,Undergraduate,Uzbekistan,8.4,Instagram,Yes,4.7,5,Single,5,9
269,23,Male,High School,Greece,7.0,TikTok,No,6.5,7,In Relationship,2,4
270,19,Female,Graduate,Kosovo,2.3,TikTok,No,8.6,9,Single,2,2
271,22,Female,Undergraduate,Czech Republic,5.6,Facebook,No,6.5,7,In Relationship,3,5
272,21,Male,Undergraduate,Egypt,1.7,WhatsApp,No,8.3,7,In Relationship,1,3
273,19,Female,Graduate,Uzbekistan,6.2,Instagram,No,5.9,7,Single,2,6
274,23,Female,Undergraduate,Qatar,3.5,WhatsApp,No,7.3,7,Complicated,1,4
275,24,Female,High School,Peru,2.5,LinkedIn,No,8.2,9,Single,1,2
276,21,Male,High School,Slovenia,6.6,Twitter,Yes,6.2,6,In Relationship,4,7
277,24,Male,Undergraduate,Peru,5.1,VKontakte,Yes,5.8,7,In Relationship,3,7
278,20,Female,Undergraduate,Iraq,7.3,Instagram,Yes,6.1,5,Single,5,9
279,20,Female,Undergraduate,Canada,3.8,WeChat,No,8.4,6,In Relationship,1,5
280,18,Male,Graduate,Montenegro,7.7,Snapchat,Yes,6.1,5,Single,5,9
281,24,Female,Undergraduate,Moldova,7.7,TikTok,Yes,5.8,4,Complicated,4,9
282,23,Male,Graduate,Poland,3.4,Facebook,Yes,7.8,6,Complicated,3,5
283,22,Female,High School,Paraguay,4.5,WeChat,Yes,7.3,8,Single,3,5
284,21,Male,Graduate,Malta,5.4,TikTok,Yes,6.7,6,In Relationship,2,5
285,19,Female,High School,Syria,7.0,TikTok,Yes,5.0,6,Single,4,8
286,23,Female,Undergraduate,Syria,5.9,LINE,Yes,6.6,6,Single,4,7
287,23,Male,Undergraduate,Panama,7.5,TikTok,Yes,7.4,6,Single,3,8
288,20,Male,Graduate,UK,6.2,Instagram,Yes,6.0,7,Complicated,5,7
289,24,Female,Undergraduate,Moldova,7.0,Facebook,Yes,6.7,6,Single,4,7
290,18,Female,Undergraduate,Slovakia,8.0,TikTok,Yes,5.4,4,In Relationship,5,9
291,18,Female,Undergraduate,Serbia,7.1,WhatsApp,Yes,5.6,4,Single,4,8
292,21,Female,Graduate,Luxembourg,3.2,Instagram,No,7.7,6,Complicated,3,5
293,20,Female,Graduate,Morocco,7.2,YouTube,Yes,6.5,6,Complicated,3,7
294,23,Male,Graduate,France,7.9,LinkedIn,Yes,5.8,6,Single,3,8
295,22,Female,Undergraduate,Bahrain,6.4,VKontakte,No,6.3,7,Complicated,3,6
296,20,Male,High School,Lebanon,3.6,LinkedIn,No,7.6,7,Single,2,4
297,21,Male,High School,Vatican City,8.5,WhatsApp,Yes,4.6,4,Single,5,9
298,21,Female,Undergraduate,Estonia,2.3,LinkedIn,No,8.4,7,In Relationship,1,4
299,20,Female,Undergraduate,Netherlands,6.7,TikTok,Yes,6.2,6,Complicated,3,8
300,21,Male,Undergraduate,Netherlands,6.6,LINE,No,5.5,8,Complicated,2,5
301,20,Male,Undergraduate,Iraq,1.6,YouTube,No,8.0,9,In Relationship,1,2
302,19,Female,High School,Morocco,8.0,Facebook,Yes,5.4,4,In Relationship,4,8
303,20,Male,High School,Taiwan,5.7,Twitter,Yes,6.4,8,Single,3,5
304,24,Female,Undergraduate,Germany,4.7,WeChat,No,7.1,8,Single,0,3
305,20,Female,Undergraduate,Colombia,7.8,YouTube,Yes,5.7,4,In Relationship,4,9
306,21,Female,Graduate,Peru,8.1,LINE,Yes,5.6,6,Single,4,7
307,24,Male,Undergraduate,Malaysia,4.8,VKontakte,No,6.8,7,Single,2,5
308,21,Male,Undergraduate,Colombia,4.0,YouTube,No,6.7,7,Single,3,6
